key,arxiv_id,bib_title,arxiv_title,arxiv_authors,overlap,verdict
backlund2025vending,2502.15840,Vending-Bench: A Benchmark for Long-Term Coherence of Autonomous Agents,Vending-Bench: A Benchmark for Long-Term Coherence of Autonomous Agents,Axel Backlund; Lukas Petersson,1.00,ok
bai2024longbench,2412.15204,LongBench v2: Towards Deeper Understanding and Reasoning on Realistic Long-context Multitasks,LongBench v2: Towards Deeper Understanding and Reasoning on Realistic Long-context Multitasks,Yushi Bai; Shangqing Tu; Jiajie Zhang; Hao Peng,1.00,ok
bai2025longbenchv2deeperunderstanding,2412.15204,LongBench v2: Towards Deeper Understanding and Reasoning on Realistic Long-context Multitasks,LongBench v2: Towards Deeper Understanding and Reasoning on Realistic Long-context Multitasks,Yushi Bai; Shangqing Tu; Jiajie Zhang; Hao Peng,1.00,ok
balachandran2025inference,2504.00294,Inference-time scaling for complex tasks: Where we stand and what lies ahead,Inference-Time Scaling for Complex Tasks: Where We Stand and What Lies Ahead,Vidhisha Balachandran; Jingya Chen; Lingjiao Chen; Shivam Garg,1.00,ok
becker2025developerproductivity,2507.09089,Measuring the Impact of Early-2025 AI on Experienced Open-Source Developer Productivity,Measuring the Impact of Early-2025 AI on Experienced Open-Source Developer Productivity,Joel Becker; Nate Rush; Elizabeth Barnes; David Rein,1.00,ok
brynjolfsson2023callcenter,2304.11771,Generative AI at Work,Generative AI at Work,Erik Brynjolfsson; Danielle Li; Lindsey Raymond,1.00,ok
burnell2023reveal,2306.10062,Revealing the Structure of Language Model Capabilities,Revealing the structure of language model capabilities,Ryan Burnell; Han Hao; Andrew R. A. Conway; Jose Hernandez Orallo,1.00,ok
chen2022chartqa,2203.10244,ChartQA: A Benchmark for Question Answering on Charts and Infographics,ChartQA: A Benchmark for Question Answering about Charts with Visual and Logical Reasoning,Ahmed Masry; Do Xuan Long; Jia Qing Tan; Shafiq Joty,0.80,ok
chollet2019measureintelligence,1911.01547,On the Measure of Intelligence,On the Measure of Intelligence,François Chollet,1.00,ok
choshen2024hitchhiker,2410.11840,A Hitchhiker's Guide to Scaling Law Estimation,A Hitchhiker's Guide to Scaling Law Estimation,Leshem Choshen; Yang Zhang; Jacob Andreas,1.00,ok
cui2023agieval,2304.06364,AGIEval: A Human-Centric Benchmark for Evaluating Foundation Models,AGIEval: A Human-Centric Benchmark for Evaluating Foundation Models,Wanjun Zhong; Ruixiang Cui; Yiduo Guo; Yaobo Liang,1.00,ok
dreyfuss2025human,2406.05408,Human Learning About AI: Projection of Difficulty Distorts Beliefs,Human Learning about AI,Bnaya Dreyfuss; Raphaël Raux,1.00,ok
eloundou2023gpts,2303.10130,Gpts are gpts: An early look at the labor market impact potential of large language models,GPTs are GPTs: An Early Look at the Labor Market Impact Potential of Large Language Models,Tyna Eloundou; Sam Manning; Pamela Mishkin; Daniel Rock,1.00,ok
fu2024videomme,2405.21075,Video-MME: The First-Ever Comprehensive Evaluation Benchmark of Multi-modal LLMs in Video Analysis,Video-MME: The First-Ever Comprehensive Evaluation Benchmark of Multi-modal LLMs in Video Analysis,Chaoyou Fu; Yuhan Dai; Yongdong Luo; Lei Li,1.00,ok
hendrycks2021mmlu,2009.03300,Measuring Massive Multitask Language Understanding (MMLU),Measuring Massive Multitask Language Understanding,Dan Hendrycks; Collin Burns; Steven Basart; Andy Zou,1.00,ok
hoffmann2022computeoptimal,2203.15556,Training Compute-Optimal Large Language Models,Training Compute-Optimal Large Language Models,Jordan Hoffmann; Sebastian Borgeaud; Arthur Mensch; Elena Buchatskaya,1.00,ok
hu2025lmgamebench,2505.15146,lmgame-Bench: How Good are LLMs at Playing Games?,lmgame-Bench: How Good are LLMs at Playing Games?,Lanxiang Hu; Mingjia Huo; Yuxuan Zhang; Haoyang Yu,1.00,ok
ide2024artificialintelligenceknowledgeeconomy,2312.05481,Artificial Intelligence in the Knowledge Economy,Artificial Intelligence in the Knowledge Economy,Enrique Ide; Eduard Talamas,1.00,ok
kadavath2022know,2207.05221,Language Models (Mostly) Know What They Know,Language Models (Mostly) Know What They Know,Saurav Kadavath; Tom Conerly; Amanda Askell; Tom Henighan,1.00,ok
kaplan2020scalinglaws,2001.08361,Scaling Laws for Neural Language Models,Scaling Laws for Neural Language Models,Jared Kaplan; Sam McCandlish; Tom Henighan; Tom B. Brown,1.00,ok
kimi2025openagentic,2507.20534,Kimi K2: Open Agentic Intelligence,Kimi K2: Open Agentic Intelligence, Kimi Team; Yifan Bai; Yiping Bao; Y. Charles,1.00,ok
korinek2024scenarios,2403.12107,Scenarios for the Transition to AGI,Scenarios for the Transition to AGI,Anton Korinek; Donghyun Suh,1.00,ok
kwa2025longtasks,2503.14499,Measuring AI Ability to Complete Long Tasks,Measuring AI Ability to Complete Long Software Tasks,Thomas Kwa; Ben West; Joel Becker; Amy Deng,1.00,ok
kwa2025measuring,2503.14499,Measuring AI Ability to Complete Long Tasks,Measuring AI Ability to Complete Long Software Tasks,Thomas Kwa; Ben West; Joel Becker; Amy Deng,1.00,ok
legg2007definitions,0706.3639,A collection of definitions of intelligence,A Collection of Definitions of Intelligence,Shane Legg; Marcus Hutter,1.00,ok
li2023mmmu,2311.16502,MMMU: A Massive Multi-Discipline Multimodal Understanding and Reasoning Benchmark for Expert AGI,MMMU: A Massive Multi-discipline Multimodal Understanding and Reasoning Benchmark for Expert AGI,Xiang Yue; Yuansheng Ni; Kai Zhang; Tianyu Zheng,1.00,ok
li2025perturbation,2511.04120,RIDE: Difficulty Evolving Perturbation with Item Response Theory for Mathematical Reasoning,RIDE: Difficulty Evolving Perturbation with Item Response Theory for Mathematical Reasoning,Xinyuan Li; Murong Xu; Wenbiao Tao; Hanlun Zhu,1.00,ok
